ID	GSM442435	GSM442437	GSM442538	GSM442540	GSM442567	GSM442568	GSM463624	GSM463625	GSM510424	GSM510425	GSM510426	GSM510427	GSM510428	GSM510429	GSM510430	GSM510431	GSM510483	GSM510484	GSM510485	GSM510487	GSM510488	GSM510489	GSM510490	GSM510491	GSM510492	GSM510493	GSM510494	GSM510495	GSM510496	GSM510497.x	GSM510498	GSM510499	GSM510500	GSM510501	GSM510502	GSM510503	GSM510504	GSM510505	GSM510506	GSM510497.y	GSM730634	GSM730635	GSM730636	GSM730637.x	GSM730638	GSM730639	GSM730640	GSM730641	GSM730642	GSM561031	GSM720644	GSM730655	GSM730637.y	GSM730657	GSM730658	GSM730659	GSM835124	GSM835125	GSM835126	GSM730643	GSM1429347
DR_0012	0.03242289	-0.231196953	-0.034523495	0.266338552	-0.269759729	-0.328056038	0.298777392	-0.161073	-1.5318346	-1.4603806	-1.5286646	-1.5693102	-1.0591383	-0.9550724	-0.9276762	-0.8438721	-1.4276953	-1.4096069	-0.61949825	-1.1764536	-1.1949987	-0.48232841	-0.53684044	-0.5654321	-0.5602498	-0.17957878	-0.37536716	-0.58653736	-0.81161594	-0.407609	-0.6389103	-0.6552639	-0.5432539	-0.46377087	-0.6172147	-0.73560333	-0.87455034	-0.96993526	-1.1229572	-0.407609	-1.2217464	-1.1674713	-1.2310904	-1.023558	-0.8935661	-0.9354065	-0.8585241	-0.7999634	-0.41311178	NA	-0.29811656	-0.3161963	-1.023558	0.2051175	-0.08652428	-0.07921043	-1.723	NA	NA	-0.39591768	0.704
DR_0013	0.086974072	-0.115829934	-0.0247434	-0.180866162	-0.522036059	0.472771183	-0.033754693	-0.769436	-0.757164	-0.7492914	-0.65791416	-0.3221531	-0.44097137	-0.41342497	-0.40742683	-0.44103527	-0.63899994	-0.8060646	-0.0949955	-0.19925022	-0.3016739	0.015418053	0.004566193	0.6227312	0.4885702	0.61046743	1.2539899	0.42988205	0.5879698	-0.09050417	0.22829771	0.31480455	0.25517464	0.6009135	0.79145384	0.43931198	0.4717884	-0.96992962	-0.06909895	-0.09050417	-0.5972767	0.010109663	-0.111367434	-0.35858542	-0.51749676	-0.6479216	-0.664882	-0.58017063	0.21313488	-0.03531111	-0.053932875	-0.2896709	-0.35858542	-0.1320171	-0.07223275	-0.21895996	-1.138	-16.61	NA	-0.14780158	0.963
DR_0014	0.122408192	0.066185071	0.142308577	-0.093988333	0.332640281	0.354417956	0.035811635	-0.877299	-1.6213484	-1.4451694	-1.4198403	-1.6360703	-1.7609129	-1.5919266	-1.6703053	-1.7552509	-1.8341312	-1.6403837	-1.0555234	-1.5393763	-1.4795027	-1.3347063	-1.2839241	-0.07738209	0.08558369	0.46556902	0.41477203	0.13344193	0.1147213	0.07613373	-0.018401146	0.09296799	0.2091608	0.3866439	0.38445234	0.59287167	0.4099331	-0.96994702	0.00310421	0.07613373	-1.7375846	-1.8014536	-1.7490996	-1.4851547	-1.3792078	-1.2598867	-1.4604969	-1.7991769	-0.60040927	NA	-0.51767665	-0.3775935	-1.4851547	-0.05264443	0.08364266	-0.06395298	-0.458	-0.953	-0.584	-0.51910144	1.012
DR_0015	0.416114195	-0.194794986	0.058465287	-1.497198791	-0.203192451	0.273154301	0.30430512	-0.160196	-1.2358723	-1.3209047	-1.252327	-1.0834799	-1.1207304	-1.3531256	-1.5174837	-1.5034466	-0.7418885	-0.42392063	-0.9630561	-1.4114752	-1.2542477	-1.2227726	-0.8776541	0.92574215	0.8343172	0.97374535	0.7984352	0.34652042	0.65845203	0.67453575	0.73960686	0.92780685	0.88868046	0.84490013	0.95578194	0.5545521	0.72554207	-0.9699299	0.7283459	0.67453575	-1.6607139	-0.4194439	-0.4824326	-0.7475625	-1.0231094	-1.0173273	-1.1682271	-1.2781674	-0.91882277	NA	-0.10765303	-0.34183973	-0.7475625	-0.007959694	0.28516215	0.012882948	-0.101	-1.018	-0.533	-0.6860169	0.919
DR_0016	-0.319708461	-0.164427849	0.259962536	NA	0.227897601	0.36676335	0.44637848	-0.216749	0.28692436	0.25292397	0.029770374	-0.12193918	0.43371868	0.29940128	0.41495705	-0.20670938	0.950881	0.96922827	0.85084534	0.22961903	0.18852472	-0.04206562	0.26032066	-0.5923028	-0.44530296	-0.3376789	-0.4260583	-0.49436235	-0.5515623	-0.7232728	-0.66195536	-0.3993907	-0.370234	-0.09447622	-0.13290024	-0.7210045	-0.5781579	-0.96992782	-0.8759279	-0.7232728	-0.5193359	-1.2471933	-1.5698847	-1.8151323	-1.1050985	-1.409883	-1.3680034	-1.2830065	0.19567764	NA	-0.030596107	-0.0850162	-1.8151323	-0.51436675	0.08405396	-0.3223013	0.076	-1.014	-0.771	0.5271579	1.194
DR_0017	-0.06909207	0.010227782	-0.461239445	0.022667378	0.005095465	0.104403368	0.333002073	-0.0406701	0.8135185	0.71878433	0.71781635	0.57451534	0.35286045	0.4956522	0.39095163	0.07730293	1.2468405	1.1505308	1.2689285	0.8556452	0.83883476	0.69551945	0.7670202	-0.89060974	-0.8515425	-1.4788318	-1.471467	-1.0060024	-0.9908581	-1.0822096	-1.085227	-0.8137102	-0.83673	-1.3003535	-1.083394	-0.6378689	-0.6751976	-0.96994555	-0.8198509	-1.0822096	0.21620512	0.21215695	0.13263544	0.31951714	0.183981	0.2515817	0.2758245	0.54251444	0.11931497	NA	-0.3801071	-0.20244643	0.31951714	-0.03850606	0.13839394	-0.054966748	0.166	-1.296	1.222	0.2645651	0.698
DR_0018	0.016665816	-0.157100199	0.061825624	-0.042651977	0.034912208	0.027381289	0.145948851	-0.535385	0.64253473	0.4018016	0.65973186	0.67613363	-0.17421436	-0.09225845	-0.28656387	-0.08740997	0.8123441	0.5702696	0.3577423	0.7663245	0.7207966	0.24269772	0.3890009	-0.89558125	-1.0228176	-1.13762	-0.83056164	-0.97141075	-0.9570198	-0.7313347	-0.7059889	-0.6005726	-0.54571533	-1.0824714	-0.9469881	-0.95464134	-0.6428337	-0.96992991	-0.798419	-0.7313347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.877	-0.87	-0.766	NA	1.065
DR_0019	-0.169084764	-0.265897931	NA	NA	NA	0.085732609	0.078704785	-0.750066	0.40895176	0.30534744	0.61187124	0.52348804	-0.3554001	0.001452923	-0.3186102	-0.32199287	0.47122192	0.58150625	0.7195568	0.7112036	0.78545475	0.059718132	0.24471664	-0.68639183	-0.80760765	-1.22544	-1.1836433	-0.8537321	-0.7477293	-1.4500008	-1.2765541	-0.8834257	-1.0634203	-1.2408514	-1.275837	-1.2300749	-1.1623545	-0.96993141	-1.4697037	-1.4500008	0.32609427	0.48293817	0.65241754	0.5699048	0.8203685	0.9220803	0.36576355	0.59669834	-0.92225885	NA	-0.37158662	-0.13585213	0.5699048	-0.63727534	0.2744775	-0.16595611	-0.827	-1.014	NA	-0.3637649	0.85
DR_0020	0.084357318	0.147443853	-0.175919217	-0.190346797	-0.213813536	-0.071080801	0.28497211	-0.444726	0.6739502	0.63328934	0.7241421	0.46064663	-0.002164841	0.29091692	0.36787558	-0.09031391	0.5002327	0.7643652	0.4273858	0.70015335	0.8682976	0.32732964	0.44082546	0.66001606	0.6811123	0.27961636	0.2749319	0.6367912	0.7303324	0.43028355	0.4245596	0.8774166	0.79333687	1.0013208	1.0842009	0.8709507	0.7479105	-0.96994556	0.9263296	0.43028355	-0.34681484	-0.69947886	-0.5217073	-0.37376946	-0.49585038	-0.51291734	-0.3709513	-0.3150737	-0.5283694	NA	-0.2492482	-0.2631706	-0.37376946	-0.13217583	0.15021268	0.079343855	-0.486	-0.549	-0.66	0.02912134	1.066
DR_0021	-0.206781098	0.013567054	0.036349213	0.120152575	0.150990803	0.053174217	0.301211671	-0.227144	1.3247385	1.3756123	1.506176	1.5893879	1.2123957	1.5729027	1.4948912	1.0351877	1.7034364	1.6154094	2.6534252	1.8474836	1.924922	1.8329096	1.9526768	-0.58719254	-0.81186104	-0.85325384	-0.82670164	-0.73120594	-0.58451843	-0.7502279	-0.67218876	-0.4435711	-0.48475838	-0.6642437	-0.6609793	-0.709178	-0.2871809	-0.96992992	-0.61786366	-0.7502279	0.80220026	0.47802997	0.53797376	0.93561226	0.9261148	0.79260784	0.66956383	0.5521059	-0.62010705	NA	-0.12605907	-0.01814504	0.93561226	0.012737602	0.16052765	0.009132564	-0.308	-0.737	-0.58	-0.28536975	1.02
